code,full_name,lat,lon
CSTM,Mumbai CST,18.9398,72.8355
DR,Dadar,19.0186,72.8448
KYN,Kalyan,19.2437,73.1355
KJT,Karjat,18.91,73.3235
LNL,Lonavala,18.7546,73.4072
TGN,Talegaon,18.7359,73.6757
DVR,Dehu Road,18.6735,73.7402
KAD,Khadki,18.5682,73.8507
SVJR,Shivaji Nagar,18.5308,73.8525
PUNE,Pune Jn,18.5286,73.874
